28,F,Good,Y,Unmarried,Medium,Um,10,Farmer,Housewife,Large,Poor,Asm,Small,Good,Train
29,M,Vg,N,Unmarried,Low,Um,Il,Service,Service,Small,Poor,Asm,Average,Average,Train
30,F,Good,N,Unmarried,Am,12,10,Service,Housewife,Average,Average,Asm,Large,Good,Train
31,M,Good,N,Unmarried,Medium,12,Um,Business,Business,Large,Poor,Asm,Average,Average,Train
32,M,Vg,N,Unmarried,Am,10,12,Service,Housewife,Large,Poor,Asm,Small,Good,Train
33,M,Vg,N,Unmarried,Medium,10,Um,Farmer,Housewife,Small,Poor,Eng,Average,Average,Train
34,F,Good,N,Unmarried,High,12,Degree,Service,Service,Average,Poor,Asm,Small,Good,Train
35,F,Good,N,Unmarried,Medium,Il,Um,Farmer,Housewife,Small,Poor,Asm,Average,Good,Train
36,F,Vg,Y,Unmarried,Low,12,10,Others,Housewife,Small,Good,Asm,Average,Good,Train
37,F,Vg,Y,Unmarried,Low,Degree,Degree,Others,Housewife,Large,Average,Asm,Average,Good,Train
38,M,Vg,N,Unmarried,Vh,Pg,Pg,Retired,Retired,Large,Good,Eng,Large,Good,Train
39,F,Vg,N,Unmarried,Medium,Degree,12,Service,Housewife,Large,Average,Eng,Average,Good,Train
40,M,Good,Y,Unmarried,Medium,Degree,10,Service,Housewife,Large,Poor,Eng,Average,Good,Train
41,M,Vg,N,Unmarried,Medium,Il,Il,Others,Housewife,Large,Good,Asm,Average,Good,Train
42,F,Vg,N,Unmarried,Medium,Degree,10,Business,Housewife,Large,Poor,Eng,Small,Good,Train
43,F,Vg,Y,Unmarried,Medium,10,10,Others,Housewife,Large,Average,Asm,Average,Good,Train
44,F,Vg,N,Unmarried,Medium,Pg,12,Business,Housewife,Large,Poor,Eng,Small,Good,Train
45,M,Good,Y,Unmarried,Low,12,12,Farmer,Housewife,Large,Average,Eng,Small,Good,Train
46,M,Good,Y,Unmarried,Medium,10,12,Farmer,Housewife,Large,Average,Eng,Small,Good,Train
47,M,Vg,Y,Unmarried,Medium,Degree,12,Farmer,Housewife,Large,Poor,Eng,Average,Good,Train
48,F,Vg,N,Unmarried,Vh,Degree,Degree,Service,Housewife,Large,Poor,Eng,Small,Good,Train
49,F,Vg,Y,Unmarried,Vh,10,10,Service,Housewife,Large,Poor,Eng,Small,Good,Train
50,F,Best,N,Unmarried,Am,Degree,Pg,Business,Service,Large,Average,Eng,Small,Good,Train
51,F,Vg,Y,Unmarried,Medium,10,Um,Farmer,Housewife,Large,Average,Eng,Small,Good,Train
52,F,Good,N,Unmarried,Medium,12,Um,Business,Housewife,Large,Poor,Eng,Small,Good,Train
53,F,Good,N,Unmarried,Medium,Il,Il,Business,Housewife,Large,Poor,Eng,Average,Average,Train
54,F,Vg,Y,Unmarried,Medium,10,10,Service,Housewife,Large,Poor,Eng,Small,Average,Train
55,F,Good,Y,Unmarried,Medium,Um,Um,Others,Housewife,Large,Average,Eng,Small,Good,Train
56,M,Good,Y,Unmarried,High,Pg,Degree,Service,Housewife,Large,Poor,Eng,Average,Average,Train
57,F,Good,Y,Unmarried,Am,12,10,Others,Housewife,Small,Average,Asm,Average,Average,Train
58,F,Good,N,Unmarried,Vh,12,Um,Service,Housewife,Large,Poor,Asm,Small,Good,Train
59,F,Good,N,Unmarried,Medium,10,10,Business,Housewife,Average,Poor,Asm,Small,Average,Train
60,F,Good,N,Unmarried,High,Il,Um,Business,Housewife,Average,Average,Asm,Small,Good,Train
61,M,Good,N,Unmarried,Low,Um,Um,Farmer,Housewife,Average,Average,Eng,Small,Average,Train
62,M,Pass,N,Unmarried,Medium,Il,10,Business,Housewife,Large,Poor,Asm,Small,Poor,Train
63,F,Good,Y,Unmarried,Medium,Um,Um,Business,Housewife,Large,Poor,Hin,Small,Average,Train
64,F,Good,N,Unmarried,Medium,10,Il,Business,Housewife,Large,Poor,Hin,Small,Average,Train
65,M,Good,N,Unmarried,Medium,10,Um,Business,Housewife,Large,Poor,Eng,Large,Average,Train
66,M,Vg,N,Unmarried,Low,Um,Um,Farmer,Housewife,Large,Average,Eng,Small,Average,Train
67,M,Vg,N,Unmarried,Am,Degree,12,Business,Service,Small,Good,Eng,Small,Good,Train
68,M,Vg,Y,Unmarried,Am,10,Um,Business,Housewife,Large,Average,Eng,Small,Good,Train
69,M,Vg,N,Unmarried,Medium,Degree,10,Others,Housewife,Large,Average,Ben,Small,Good,Train
70,M,Vg,Y,Unmarried,Medium,Um,Um,Others,Housewife,Large,Average,Eng,Average,Good,Train
71,M,Best,N,Unmarried,Medium,Um,Um,Service,Housewife,Small,Average,Eng,Small,Good,Train
72,M,Best,N,Unmarried,Am,10,Um,Others,Housewife,Small,Average,Eng,Average,Good,Train
73,M,Vg,Y,Unmarried,Am,12,Um,Business,Housewife,Large,Poor,Eng,Average,Average,Train
74,M,Vg,N,Unmarried,Medium,Il,Um,Others,Housewife,Large,Average,Asm,Average,Good,Train
75,M,Good,N,Unmarried,Medium,10,12,Others,Housewife,Large,Good,Asm,Small,Good,Train
76,F,Pass,Y,Unmarried,Medium,12,10,Others,Housewife,Large,Average,Asm,Average,Good,Train
77,M,Best,N,Unmarried,Am,12,Um,Service,Housewife,Large,Average,Eng,Small,Average,Train
78,M,Best,N,Unmarried,Vh,Degree,Degree,Service,Housewife,Large,Good,Eng,Average,Good,Train
79,F,Best,N,Unmarried,Medium,Degree,10,Business,Housewife,Average,Good,Eng,Small,Good,Train
80,M,Good,N,Unmarried,Low,Um,Um,Farmer,Housewife,Large,Good,Asm,Small,Average,Train
81,F,Vg,N,Unmarried,Medium,10,10,Others,Housewife,Large,Average,Hin,Small,Average,Train
82,F,Vg,N,Unmarried,Low,Um,Il,Business,Housewife,Small,Average,Eng,Average,Good,Train
83,F,Best,N,Unmarried,Medium,Degree,12,Business,Housewife,Small,Good,Eng,Small,Good,Train
84,F,Vg,N,Unmarried,Medium,Degree,Degree,Business,Housewife,Average,Good,Eng,Average,Average,Train
85,F,Vg,N,Unmarried,Medium,Um,Um,Others,Housewife,Small,Good,Asm,Small,Good,Train
86,F,Best,N,Unmarried,Medium,12,10,Service,Housewife,Average,Good,Eng,Small,Good,Train
87,F,Vg,N,Unmarried,Medium,Pg,Pg,Retired,Service,Small,Good,Asm,Small,Good,Train
88,F,Vg,N,Unmarried,Low,12,Il,Business,Housewife,Small,Good,Eng,Small,Average,Train
89,F,Good,Y,Unmarried,Am,Um,Um,Farmer,Housewife,Large,Good,Eng,Small,Good,Train
90,F,Vg,N,Unmarried,Am,Degree,10,Business,Service,Large,Good,Asm,Small,Average,Train
91,F,Good,Y,Unmarried,Am,Pg,12,Business,Service,Large,Good,Asm,Small,Good,Train
92,F,Vg,N,Unmarried,High,12,Um,Service,Housewife,Large,Good,Eng,Small,Good,Train
93,M,Good,N,Unmarried,High,Um,Um,Business,Housewife,Large,Poor,Eng,Small,Poor,Train
94,M,Vg,Y,Unmarried,Low,12,10,Others,Housewife,Large,Poor,Eng,Small,Average,Train
95,M,Good,Y,Unmarried,Medium,Um,12,Others,Housewife,Average,Poor,Eng,Small,Poor,Train
96,M,Vg,N,Unmarried,Medium,Um,Um,Others,Housewife,Large,Poor,Eng,Small,Good,Train
97,M,Good,N,Unmarried,Vh,12,10,Business,Housewife,Average,Average,Eng,Small,Poor,Train
98,M,Vg,N,Unmarried,Am,Um,Um,Others,Others,Large,Average,Hin,Small,Good,Train
99,M,Good,N,Unmarried,Am,Um,Um,Business,Housewife,Large,Poor,Asm,Small,Average,Train
100,M,Vg,N,Unmarried,Am,Degree,12,Others,Housewife,Average,Good,Eng,Small,Good,Train
